해설|정답|개수|문제
|T||BTO의 경우 민간사업자는 시설을 운영하면서 사용료징수로 투자비를 회수하는데, 주로 도로⋅철도 등 수익창출이 가능한 영역에 적용된다.
|F||사회적 기업은 이익을 재투자하거나 그 일부를 연계기업에 배분할 수 있다.
공경정직|F||살라몬(Salamon)의 정책수단유형 중 직접대출, 경제적규제, 공기업 등은 간접수단에 해당한다.
|F||정책수단(policy tools)에 대해 살라몬(L. M. Salamon)은 형평성에 대한 고려가 특히 중요한 경우에는 간접적수단이 직접적 수단보다 적절하다고 주장한다.
|F||시장실패의 원인에는 규모의 경제, 정보의 비대칭성, X-비효율성, 외부경제 등이 있다.
|T||정부의 개입활동 중에서 외부효과, 자연독점, 불완전경쟁, 정보의 비대칭 등의 상황에 모두 적절한 대응방식은 정부규제이다.
|T||긍정적 외부효과를 유발하는 기업에게는 보조금을 지급하여 사회적으로 최적의 생산량을 생산하도록 유도한다.
|T||파생적 외부효과로 인한 정부실패는 정부 보조 삭감 또는 규제완화의 방식으로 해결하는 것이 적합하다.
전위효과: 공공지출이 민간지출을 대체|F||정부규모팽창에 대한 이론 중 전위효과는 사회혼란기에 공공지출이 상향 조정되면 민간지출이 공공지출을 대체하는 현상이다.
부하배증의 법칙에 해당|F||파킨슨 법칙에 있어‘업무 배증의 법칙’은 A라는 공무원이 과중한 업무에 허덕이게 될 때 자기의 동료 B를 보충받기 보다는 자기를 보조해줄 부하 C를 보충받기를 원한다는 것이다.
|T||리바이어던(Leviathan) 가설은 재정권을 독점한 정부에서 정치가나 관료들이 독점적 권력을 국민에게 남용하여 재정규모를 과도하게 팽창시키는 행위를 의미한다는 내용을 담고 있다.
|F||우리나라에서는 시민단체의 자율성을 위하여 정부가 재정 지원을 하지 않는다.
|T||사회적 자본(social capital)의 주요 속성으로는 상호신뢰, 호혜주의, 적극적 참여 등이 있다.
|F||사회적 자본(social capital)은 사용할수록 점차 감소하기 때문에 행위자들이 지속적으로 유지하려는 노력을 투입해야 한다.
|F||사회적 자본(social capital)의 사회적 교환관계는 동등한 가치의 등가교환이고, 시간적 동시성을 전제로 하지 않는다.
|F||사회적 자본(social capital)은 동조성(confirmity)을 요구 하면서 개인의 행동이나 사적 선택을 적극적으로 촉진시킨다.
|T||사회적 자본(social capital)은 경제적 자본에 비해 형성과정이 불투명하고 불확실하다.
|F||행정정보공개의 확대는 공무원의 도전적이고 적극적인 행태를 조장한다.
|T||｢공공기관의 정보공개에 관한 법률｣에 따르면 직무를 수행한 공무원의 성명·직위는 공개할 수 있다.
|F||｢공공기관의 정보공개에 관한 법률｣에 따르면 국회, 법원, 헌법재판소의 정보는 공개청구의 대상에서 제외되어 있다.
|T||｢공공기관의 정보공개에 관한 법률｣에 따르면 중앙행정기관의 경우 전자적 형태의 정보 중 공개대상으로 분류된 정보는 공개청구가 없더라도 공개하여야 한다.
|F||행정가치를 본질적 가치와 수단적 가치로 구분하면 본질적 가치는 형평성, 민주성, 합법성 등이다.
|F||행정이념 간의 관계에서 민주성과 합법성은 항상 조화의 관계에 있다.
|F||공익의 실체설은 다원주의 국가에서 일어나는 정책결정과정을 전제로 한다.
실체설 中 공리주의: 총합의 극대화|T||과정설은 공익이 사익의 총합이거나 사익 간의 타협·조정 과정을 통해 얻어지는 것으로 보는 견해이다.
|F||공익의 실체설은 절차적 합리성을 강조하여 적법절차의 준수에 의해서 공익이 보장된다고 본다.
|F||지나친 집단 이기주의를 극복하기 위해서는 과정설적인 입장을 반영할 필요가 있다.
|F||롤즈(Rawls)의 정의의 두 가지 기본 원리는 특수한 사실의 유·불리 여부에 대한 판단이 불확실한 원초적상태에서 구성원들이 합의하는 규칙 또는 원칙은 불공정할 것이라고 전제하고 있다.
|T||롤즈는 정의와 관련하여 원초적 상태에서의 인간은 최소극대화 원리(maximin)에 입각하여 규칙을 선택하는 것으로 가정한다.
|F||롤즈(Rawls)의 사회정의의 원리에 의하면 제2원리 내에서 충돌이 생길 때에는 ‛차등원리’가‘기회균등의 원리’에 우선되어야 한다.
|T||수평적 형평성이란 동등한 것을 동등하게 취급하는 것, 수직적 형평성이란 동등하지 않은 것을 서로 다르게 취급하는 것을 의미한다.
|T||실적의 차이에 따른 차등적 배분의 정당성을 뒷받침하는 실적이론은 수직적 형평의 관념을 바탕으로 하고 있다.
합리성: 최적수단|T||합리성은 어떤 행위가 궁극적인 목표달성을 위한 최적의 수단이 되느냐를 가리키는 개념이다.
|F||사이먼(H. A. Simon)의 절차적 합리성은 결정이 생성되는 과정보다 선택의 결과에 더 관심을 갖는다.
|F||효과성은 투입 대비 산출의 비율을, 능률성은 목표의 달성도를 나타내는 개념이다.
"합리적 목표모형: 외부통제-능률, 생산
개방체제모형: 외부유연-성장 및 자원 획득"|F||퀸과 로보그(Quinne & Rohrbaugh)의 경쟁가치모형 중 조직의 외부에 초점을 두고 통제를 강조하는 경우성장 및 자원 획득을 목표로 하게 된다.
"개방체제모형: 성장 및 자원 획득
내부과정모형: 조직의 균형-정보관리, 의사소통"|F||퀸과 로보그(Quinne & Rohrbaugh)의 경합가치모형 중 개방체제모형은 조직의 균형을 확보하는 것이 목표 가치이며, 그 수단으로서 정보관리와 의사소통 등이 강조된다.
|F||환경의 불확실성이 커질수록 가외성의 필요성은 감소한다. 
|F||가외성의 특성 중 중첩성(overlapping)은 동일한 기능을 여러 기관들이 독자적인 상태에서 수행하는 것을 뜻한다.
|F||행정학의 접근법과 학문적 성격에서 기술성과 과학성, 특수성과 보편성, 가치판단 불가피성과 가치중립성으로 나눌 때 서로 연관된 것끼리 조합하면, 과학성-특수성-가치중립성이다.
|T||공무원 개인의 가치와 태도를 토대로 공직사회 전체의 부패 정도를 설명하려는 경우에 발생되기 쉬운 오류는 환원주의 오류이다.
"헤밀턴주의: 연방주의(하나)
메디슨주의: 다원주의(모두)"|F||매디슨주의는 국가이익의 증진을 위해 강한 행정부의 적극적 역할과 행정의 유효성을 지향한다.
|T||테일러(Taylor)는‘시간과 동작에 관한 연구’를 통해 최선의 방법(the one best way)을 추구하였다.
|T||과학적 관리론은 조직 내의 인간을 경제적 유인에 의해 동기가 유발되는 타산적 존재로 가정한다.
|T||인간관계론은 비경제적 요인의 우월성, 비공식집단 중심의 사기형성 등을 중시한다.
|T||인간관계론은 외부환경의 영향을 고려하지 않는 폐쇄적조직론이다.
|F||행태주의 연구방법은 행정현상 중 가치 판단적인 요소의존재를 인정하지 않았다.
행동주의와 달리 태도, 의견, 개성 등을 포함|F||행태주의는 심리학적 행동주의와는 달리 특정 질문에 따른 반응을 통해 파악해 볼 수 있는 태도, 의견, 개성 등을 행태에 포함시키지 않고 있다.
|T||행태주의는 자연현상과 사회현상은 동일하다고 보고 논리실증주의 방법을 적용한다.
|F||행태주의는 과학적 설명보다는 실질적인 처방을 강조하였다.
|T||신행정학은 가치에 대한 새로운 인식을 기초로 규범적이며 처방적인 연구를 강조하였다.
|T||신행정학은 왈도(Waldo), 마리니(Marini), 프레드릭슨(Frederickson) 등이 주도하였다.
|F||신행정론은 적실성 있는 행정학 연구, 실증주의적 연구지향, 고객중심의 행정, 효율성 강조, 기업식 정부 운영 등을 강조한다.
|T||신행정학(New Public Administration)은 미국의 사회문제 해결을 촉구한 반면 발전행정은 제3세계의 근대화 지원에 주력하였다.
|F||생태론은 선진국의 행정현상을 설명하는 데 크게 기여했으며, 행정의 보편적 이론보다는 중범위 이론의 구축에 자극을 줘 행정학의 과학화에 기여했다.
|T||비교행정론은 행정을 지나치게 과소평가함으로써 행정의 독자성을 무시하고 행정의 종속성을 강조하였다.
|T||리그스(Riggs)의 프리즘적 모형(Prismatic Model)에서 설명하는 프리즘적 사회의 특성은 고도의 이질혼합성, 형식주의 등이다.
|F||발전행정론은 가치중립적인 입장을 취하면서 행정의 종속변수적 측면을 강조하고 있다.
|T||체제론적 접근방법은 행정현상을 분석하기 위해 다양한 관련 변수 중에서 환경을 포함해 거시적으로 접근한다.
부(-)의 엔트로피|F||개방체제의 특성은 등종국성(equifinality), 정(＋)의 엔트로피, 구조 기능의 다양성 등이다.
"유통목적
적응기능: 기업
체제유지기능: 교육조직-학교"|F||파슨스가 제시한 사회적 기능 중 적응기능(adaptation)을 수행하는 조직유형은 교육조직이며, 그 예시로는 학교가 있다.
|T||공공선택론에서 분석의 단위는 개인이며, 개인은 자기이익을 중심으로 행동하는 사람이다.
|F||공공선택이론은 뷰캐넌(Buchanan)이 창시하고, 오스트롬(Ostrom)이 발전시킨 이론으로 정치학적인 분석도구를 중시한다.
|F||뷰캐넌과 털럭(Buchanan & Tullock)의 적정참여자수 모형에 따르면, 의사결정에 필요로 하는 인원이 증가하면 의사결정비용이 감소하는 반면, 외부비용은 증가한다.
|F||티부(Tiebout) 모형에서 공급되는 공공서비스는 지방정부간에 파급효과 및 외부효과를 발생시킨다고 가정한다.
|F||티부(Tiebout) 모형의 가정은 분권화된 체제에서 효율적인 자원배분이 이루어진다는 것으로 지방자치단체의 주된 재원은 지방소비세가 되어야 한다고 본다.
|F||니스카넨(Niskanen)의 예산 극대화 모형에서 관료는 한계편익곡선과 한계비용곡선이 교차하는 점에서 공공서비스를 공급하려 한다고 본다.
"고위직: 관청예산(ㄱㄱ)
중하위직: 핵심예산=소속기관의 예산극대화(ㅎㅎ)"|F||던리비(Dunleavy)의 관청형성모형에서 합리적인 고위직 관료들은 소속기관의 예산극대화를 추구한다.
|F||애로우(K. J. Arrow)는‘두 대안에 대한 개개인의 선호 순위는 두 대안뿐 아니라 다른 제3의 대안도 고려하여 결정되어야 한다’고 바람직한 의사결정의 기본조건을 제시하였다.
|T||공공선택이론은 개인의 기득권을 계속 유지하려는 보수적인 접근이라는 비판이 있다.
|F||구제도주의와 신제도주의의 공통점은 제도의 개념을 동태적인 것으로 파악하면서, 국가 간 차이에 대한 설명을 시도하는 것이다.
|T||역사적 신제도주의는 제도가 형성되면 안정성과 경로의존성을 갖는다고 본다.
|F||역사적 신제도주의와 사회학적 신제도주의에서 개인의 선호체계는 주어진 것으로 가정한다.
귀납적 접근|F||사회학적 신제도주의에서의 접근법은 방법론적 전체주의와 연역적 접근법이 사용된다.
|T||합리적 선택 신제도주의는 방법론적으로 개인주의에 기초하고 있다.
|F||대리인이론에서 대리손실은 주인에 대한 정보부족으로 발생하며, 이에는 도덕적 해이와 역선택 현상이 있다.
|F||도덕적 해이는 주인이 대리인의 업무처리 능력과 지식을 충분히 알지 못해 기준 미달의 대리인을 선택하는 현상이다.
|T||Williamson이 주장한 거래비용이론에서 내부조정비용이 거래비용보다 작을 때 조직통폐합이나 내부조직화가 효과적이다.
|F||거래비용이론은 행정의 효율성뿐만 아니라 민주성이나 형평성도 적절히 고려한다.
성과중심의 관리|F||신공공관리론은 규정과 절차를 강화하고 관료들의 재량권을 최소화한다.
|F||신공공관리론의 고객중심 논리는 국민을 능동적인 존재로 만들 수 있다.
|T||전통적인 관료제 정부에서 정부의 역할은 주로 노젓기(rowing)인데 반하여, 기업가적 정부에서는 방향 잡아주기(steering)이다.
|F||예측, 예방, 임무중심 관리 등이 전통적 관료제 정부의행정 관리 방식이라면, 투입중심 예산, 사후대처, 명령, 통제는 기업가적 정부의 행정관리 방식이다.
재량확대, 성과에 의한 통제|F||D. Osborne과 P. Plastrik이 제시한 정부혁신의 5가지 전략 중 통제전략은 부패방지를 위한 행정 투명성을 확보하는 것이다.
|T||뉴거버넌스는 구성원 간의 참여를 바탕으로 행정의 민주성과 신뢰성을 강조한다.
|F||신공공관리론의 인식론적 기초는 민주주의인 반면, 뉴거버넌스에서의 인식론적 기초는 공동체주의이다.
|F||신공공관리론에서 관료의 역할은 조정자이며, 뉴거버넌스론에서 관료의 역할은 공공기업가이다.
|F||신공공관리론에서는 부문 간 협력에, 뉴거버넌스론에서는 부문 간 경쟁에 역점을 둔다.
|T||신공공관리론과 뉴거버넌스 이론은 모두 정부실패를 이념적 토대로 설정하여 그 대응책을 마련하고자 한다.
규제완화→재규제|F||탈신공공관리론(Post-NPM)에서 강조하는 행정개혁 전략에는 분권화와 집권화의 조화, 민간과 공공부문 간파트너십 강조, 규제완화, 인사관리의 공공책임성 중시, 정치적 통제의 강조 등이 있다.
참여정부: 평면조직-참여적 관리(中1: TQM, MBO)|T||피터스(Peters)의 참여정부 모형의 관리 개혁 방안은 총품질관리이다.
|F||피터스(Peters)의 정부모형 중 탈내부규제 정부모형은 구조개혁방안으로 계층제를, 관리개혁방안으로 관리 재량권 확대를 제시한다.
|F||피터스(Peters)의 시장모형에서는 조직의 통합을 통한집권화를 처방한다.
|F||피터스(Peters)의 신축적 정부모형에서는 정규직 공무원의 확대를 통하여 비용을 절감하고 공익을 증진시킬수 있다고 본다.
|T||현상학적 접근방법은 행정현실을 이해하는 데 과학적방법보다 해석학적 방법을 선호한다.
|F||현상학적 행정연구에서는 가치와 사실의 구별을 인정하며, 현상을 개체적으로 파악하고자 한다.
미시적|F||포스트모더니즘은 상상, 해체, 영역파괴, 타자성 등의 개념을 중심으로 거시이론, 거시정치 등을 통하여 행정현상을 설명하고자 한다.
|F||포스트모더니즘 행정이론에서 D. Farmer가 언급한 타자성(alterity)이란 타인을 인식적 객체로 받아들이는 것을 말한다.
NPS: 시민에게 봉사|F||신공공서비스론에서 공무원들은 시민이 아니라 고객에대하여 봉사하여야 한다고 본다.
전통적 관료제|F||신공공서비스론은 책임성 확보의 방법으로 행정인이 민주적으로 선출된 대표자에게 책임을 다하는 것을 강조한다.
“전략 생각, 민주 행동!!!” (전략적 합리성)|T||신공공서비스론은 정책과정에 있어서 전략적으로 생각하고 민주적으로 행동해야 한다고 강조한다.
|T||신공공관리론은 공익을 개인적 이익의 집합을 반영한 것으로 보는 반면, 신공공서비스론은 공동의 가치에 대한 담론의 결과를 공익으로 본다.
안정성F|F||딜레마 이론에서 논의되는 딜레마 상황이 갖는 논리적구성요건에는 분절성, 안정성, 상충성, 선택 불가피성 등이 있다.
|F||시차이론에서는 원인변수와 결과변수 간 인과관계가 원인 변수들이 작용하는 순서에 따라 달라지지는 않는다고 본다.
